Resource,Zone,Num_VRE_Bins,Existing_Cap_MWh,Existing_Cap_MW,New_Build,Can_Retire,Cap_Size,Min_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,region,technology,cluster
EIC_offshorewind_class12_moderate_floating_1_68,1,1,0,0,1,1,1,0,59461.7,450895,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,68
EIC_offshorewind_class12_moderate_floating_1_69,1,1,0,0,1,1,1,0,73503.9,212711,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,69
EIC_offshorewind_class12_moderate_floating_0_0,1,1,0,0,1,1,1,0,65762.8,204577,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,0
EIC_offshorewind_class12_moderate_floating_0_1,1,1,0,0,1,1,1,0,14399.2,214655,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,1
EIC_offshorewind_class12_moderate_floating_0_8,1,1,0,0,1,1,1,0,34280.8,211288,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,8
EIC_offshorewind_class12_moderate_floating_0_9,1,1,0,0,1,1,1,0,101840.5,226179,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,9
EIC_offshorewind_class12_moderate_floating_0_28,1,1,0,0,1,1,1,0,118605,222111,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,28
EIC_offshorewind_class12_moderate_floating_0_29,1,1,0,0,1,1,1,0,18875.6,204119,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,29
EIC_offshorewind_class12_moderate_floating_0_68,1,1,0,0,1,1,1,0,79943.7,202304,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,68
EIC_offshorewind_class12_moderate_floating_0_69,1,1,0,0,1,1,1,0,23454.7,404738,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,69
EIC_offshorewind_class12_moderate_floating_0_138,1,1,0,0,1,1,1,0,59461.7,450895,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,138
EIC_offshorewind_class12_moderate_floating_0_139,1,1,0,0,1,1,1,0,73503.9,212711,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_0,139
TRE_offshorewind_class3_moderate_fixed_1_0,2,1,0,0,1,1,1,0,13077.5,145004,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,0
TRE_offshorewind_class3_moderate_fixed_1_1,2,1,0,0,1,1,1,0,9995,158104,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,1
TRE_offshorewind_class3_moderate_fixed_1_2,2,1,0,0,1,1,1,0,22842.5,140443,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,2
TRE_offshorewind_class3_moderate_fixed_1_3,2,1,0,0,1,1,1,0,895,157772,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,3
TRE_offshorewind_class3_moderate_fixed_1_4,2,1,0,0,1,1,1,0,20865,142961,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,4
TRE_offshorewind_class3_moderate_fixed_1_5,2,1,0,0,1,1,1,0,4480,166128,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,5
TRE_offshorewind_class3_moderate_fixed_1_6,2,1,0,0,1,1,1,0,23652,166849,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,6
TRE_offshorewind_class3_moderate_fixed_1_7,2,1,0,0,1,1,1,0,10070,157895,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,7
TRE_offshorewind_class3_moderate_fixed_1_8,2,1,0,0,1,1,1,0,20680,167576,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,8
TRE_offshorewind_class3_moderate_fixed_1_9,2,1,0,0,1,1,1,0,16746,156072,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_1,9
TRE_offshorewind_class3_moderate_fixed_0_0,2,1,0,0,1,1,1,0,13077.5,145004,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,0
TRE_offshorewind_class3_moderate_fixed_0_1,2,1,0,0,1,1,1,0,9995,158104,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,1
TRE_offshorewind_class3_moderate_fixed_0_4,2,1,0,0,1,1,1,0,22842.5,140443,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,4
TRE_offshorewind_class3_moderate_fixed_0_5,2,1,0,0,1,1,1,0,895,157772,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,5
TRE_offshorewind_class3_moderate_fixed_0_10,2,1,0,0,1,1,1,0,20865,142961,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,10
TRE_offshorewind_class3_moderate_fixed_0_11,2,1,0,0,1,1,1,0,4480,166128,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,11
TRE_offshorewind_class3_moderate_fixed_0_18,2,1,0,0,1,1,1,0,23652,166849,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,18
TRE_offshorewind_class3_moderate_fixed_0_19,2,1,0,0,1,1,1,0,10070,157895,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,19
TRE_offshorewind_class3_moderate_fixed_0_28,2,1,0,0,1,1,1,0,20680,167576,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,28
TRE_offshorewind_class3_moderate_fixed_0_29,2,1,0,0,1,1,1,0,16746,156072,78449,0,0,None,0,0,0,0,0,TRE,OffShoreWind_Class3_Moderate_fixed_0,29
TRE_offshorewind_class12_moderate_floating_1_0,2,1,0,0,1,1,1,0,13077.5,200994,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,0
TRE_offshorewind_class12_moderate_floating_1_1,2,1,0,0,1,1,1,0,9995,214094,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,1
TRE_offshorewind_class12_moderate_floating_1_6,2,1,0,0,1,1,1,0,22842.5,196433,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,6
TRE_offshorewind_class12_moderate_floating_1_7,2,1,0,0,1,1,1,0,895,213762,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,7
TRE_offshorewind_class12_moderate_floating_1_18,2,1,0,0,1,1,1,0,20865,198951,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,18
TRE_offshorewind_class12_moderate_floating_1_19,2,1,0,0,1,1,1,0,4480,222118,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,19
TRE_offshorewind_class12_moderate_floating_1_38,2,1,0,0,1,1,1,0,23652,222839,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,38
TRE_offshorewind_class12_moderate_floating_1_39,2,1,0,0,1,1,1,0,10070,213885,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,39
TRE_offshorewind_class12_moderate_floating_1_68,2,1,0,0,1,1,1,0,20680,223566,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,68
TRE_offshorewind_class12_moderate_floating_1_69,2,1,0,0,1,1,1,0,16746,212062,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_1,69
TRE_offshorewind_class12_moderate_floating_0_0,2,1,0,0,1,1,1,0,13077.5,200994,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,0
TRE_offshorewind_class12_moderate_floating_0_1,2,1,0,0,1,1,1,0,9995,214094,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,1
TRE_offshorewind_class12_moderate_floating_0_8,2,1,0,0,1,1,1,0,22842.5,196433,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,8
TRE_offshorewind_class12_moderate_floating_0_9,2,1,0,0,1,1,1,0,895,213762,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,9
TRE_offshorewind_class12_moderate_floating_0_28,2,1,0,0,1,1,1,0,20865,198951,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,28
TRE_offshorewind_class12_moderate_floating_0_29,2,1,0,0,1,1,1,0,4480,222118,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,29
TRE_offshorewind_class12_moderate_floating_0_68,2,1,0,0,1,1,1,0,23652,222839,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,68
TRE_offshorewind_class12_moderate_floating_0_69,2,1,0,0,1,1,1,0,10070,213885,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,69
TRE_offshorewind_class12_moderate_floating_0_138,2,1,0,0,1,1,1,0,20680,223566,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,138
TRE_offshorewind_class12_moderate_floating_0_139,2,1,0,0,1,1,1,0,16746,212062,68827,0,0,None,0,1,1,1,1,TRE,OffShoreWind_Class12_Moderate_floating_0,139
WECC_offshorewind_class3_moderate_fixed_1_0,3,1,0,0,1,1,1,0,26916.5,174794,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,0
WECC_offshorewind_class3_moderate_fixed_1_1,3,1,0,0,1,1,1,0,29943.3,179346,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,1
WECC_offshorewind_class3_moderate_fixed_1_2,3,1,0,0,1,1,1,0,39553.5,177553,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,2
WECC_offshorewind_class3_moderate_fixed_1_3,3,1,0,0,1,1,1,0,18780,162737,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,3
WECC_offshorewind_class3_moderate_fixed_1_4,3,1,0,0,1,1,1,0,19994,174072,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,4
WECC_offshorewind_class3_moderate_fixed_1_5,3,1,0,0,1,1,1,0,36016,175097,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,5
WECC_offshorewind_class3_moderate_fixed_1_6,3,1,0,0,1,1,1,0,53762,174641,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,6
WECC_offshorewind_class3_moderate_fixed_1_7,3,1,0,0,1,1,1,0,1544,151442,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,7
WECC_offshorewind_class3_moderate_fixed_1_8,3,1,0,0,1,1,1,0,44128,176829,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,8
WECC_offshorewind_class3_moderate_fixed_1_9,3,1,0,0,1,1,1,0,9122,151351,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_1,9
WECC_offshorewind_class3_moderate_fixed_0_0,3,1,0,0,1,1,1,0,26916.5,174794,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,0
WECC_offshorewind_class3_moderate_fixed_0_1,3,1,0,0,1,1,1,0,29943.3,179346,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,1
WECC_offshorewind_class3_moderate_fixed_0_4,3,1,0,0,1,1,1,0,39553.5,177553,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,4
WECC_offshorewind_class3_moderate_fixed_0_5,3,1,0,0,1,1,1,0,18780,162737,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,5
WECC_offshorewind_class3_moderate_fixed_0_10,3,1,0,0,1,1,1,0,19994,174072,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,10
WECC_offshorewind_class3_moderate_fixed_0_11,3,1,0,0,1,1,1,0,36016,175097,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,11
WECC_offshorewind_class3_moderate_fixed_0_18,3,1,0,0,1,1,1,0,53762,174641,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,18
WECC_offshorewind_class3_moderate_fixed_0_19,3,1,0,0,1,1,1,0,1544,151442,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,19
WECC_offshorewind_class3_moderate_fixed_0_28,3,1,0,0,1,1,1,0,44128,176829,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,28
WECC_offshorewind_class3_moderate_fixed_0_29,3,1,0,0,1,1,1,0,9122,151351,78449,0,0,None,0,0,0,0,0,WECC,OffShoreWind_Class3_Moderate_fixed_0,29
WECC_offshorewind_class12_moderate_floating_1_0,3,1,0,0,1,1,1,0,26916.5,232121,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,0
WECC_offshorewind_class12_moderate_floating_1_1,3,1,0,0,1,1,1,0,29943.3,236673,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,1
WECC_offshorewind_class12_moderate_floating_1_6,3,1,0,0,1,1,1,0,39553.5,234880,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,6
WECC_offshorewind_class12_moderate_floating_1_7,3,1,0,0,1,1,1,0,18780,220064,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,7
WECC_offshorewind_class12_moderate_floating_1_18,3,1,0,0,1,1,1,0,19994,231399,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,18
WECC_offshorewind_class12_moderate_floating_1_19,3,1,0,0,1,1,1,0,36016,232424,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,19
WECC_offshorewind_class12_moderate_floating_1_38,3,1,0,0,1,1,1,0,53762,231968,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,38
WECC_offshorewind_class12_moderate_floating_1_39,3,1,0,0,1,1,1,0,1544,208769,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,39
WECC_offshorewind_class12_moderate_floating_1_68,3,1,0,0,1,1,1,0,44128,234156,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,68
WECC_offshorewind_class12_moderate_floating_1_69,3,1,0,0,1,1,1,0,9122,208678,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_1,69
WECC_offshorewind_class12_moderate_floating_0_0,3,1,0,0,1,1,1,0,26916.5,232121,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,0
WECC_offshorewind_class12_moderate_floating_0_1,3,1,0,0,1,1,1,0,29943.3,236673,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,1
WECC_offshorewind_class12_moderate_floating_0_8,3,1,0,0,1,1,1,0,39553.5,234880,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,8
WECC_offshorewind_class12_moderate_floating_0_9,3,1,0,0,1,1,1,0,18780,220064,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,9
WECC_offshorewind_class12_moderate_floating_0_28,3,1,0,0,1,1,1,0,19994,231399,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,28
WECC_offshorewind_class12_moderate_floating_0_29,3,1,0,0,1,1,1,0,36016,232424,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,29
WECC_offshorewind_class12_moderate_floating_0_68,3,1,0,0,1,1,1,0,53762,231968,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,68
WECC_offshorewind_class12_moderate_floating_0_69,3,1,0,0,1,1,1,0,1544,208769,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,69
WECC_offshorewind_class12_moderate_floating_0_138,3,1,0,0,1,1,1,0,44128,234156,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,138
WECC_offshorewind_class12_moderate_floating_0_139,3,1,0,0,1,1,1,0,9122,208678,68827,0,0,None,0,1,1,1,1,WECC,OffShoreWind_Class12_Moderate_floating_0,139
