Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,NENGREST_NG_ccs90,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_ccs90,NENGREST_ccs90,NENG_CT_NG_ccs100,NENGREST_NG_ccs100,NENG_ME_NG_ccs90,NENG_ME_NG_ccs100,NENG_ME_ccs100,NENGREST_ccs100,None
13,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
14,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
15,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
16,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
17,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
18,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
19,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
20,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
21,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
22,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
23,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
24,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
25,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
26,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
27,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
28,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
29,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
30,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
31,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
32,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
33,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
34,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
35,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
36,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
37,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
38,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
39,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
40,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
41,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
42,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
43,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
44,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
45,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
46,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
47,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
48,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
49,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
50,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
51,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
52,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
53,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
54,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
55,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
56,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
57,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
58,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
59,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
60,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
61,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
62,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
63,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
64,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
65,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
66,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
67,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
68,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
69,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
70,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
71,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
72,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
73,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
74,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
75,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
76,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
77,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
78,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
79,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
80,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
81,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
82,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
83,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
84,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
85,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
86,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
87,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
88,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
89,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
90,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
91,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
92,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
93,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
94,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
95,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
96,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
97,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
98,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
99,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
100,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
101,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
102,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
103,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
104,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
105,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
106,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
107,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
108,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
109,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
110,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
111,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
112,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
113,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
114,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
115,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
116,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
117,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
118,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
119,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
120,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
121,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
122,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
123,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
124,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
125,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
126,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
127,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
128,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
129,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
130,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
131,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
132,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
133,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
134,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
135,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
136,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
137,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
138,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
139,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
140,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
141,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
142,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
143,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
144,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
145,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
146,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
147,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
148,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
149,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
150,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
151,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
152,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
153,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
154,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
155,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
156,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
157,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
158,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
159,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
160,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
161,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
162,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
163,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
164,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
165,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
166,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
167,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
168,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
169,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
170,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
171,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
172,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
173,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
174,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
175,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
176,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
177,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
178,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
179,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
180,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
181,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
182,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
183,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
184,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
185,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
186,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
187,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
188,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
189,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
190,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
191,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
192,1.89,1.89,2.34,2.34,1.67,0.69,1.89,1.89,2.34,0.46,0.46,2.34,0.46,0.46,0.91,0
193,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
194,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
195,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
196,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
197,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
198,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
199,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
200,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
201,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
202,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
203,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
204,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
205,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
206,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
207,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
208,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
209,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
210,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
211,0.74,0.74,1.01,1.01,0.64,0.27,0.74,0.74,1.01,0.19,0.19,1.01,0.19,0.19,0.46,0
