Time_Index,CT_NG,ME_NG,MA_NG,None,coal,blue_ammonia
72,5.45,5.45,5.28,0,1.8729355,1.8729355
73,5.45,5.45,5.28,0,1.8729355,1.8729355
74,5.45,5.45,5.28,0,1.8729355,1.8729355
75,5.45,5.45,5.28,0,1.8729355,1.8729355
76,5.45,5.45,5.28,0,1.8729355,1.8729355
77,5.45,5.45,5.28,0,1.8729355,1.8729355
78,5.45,5.45,5.28,0,1.8729355,1.8729355
79,5.45,5.45,5.28,0,1.8729355,1.8729355
80,5.45,5.45,5.28,0,1.8729355,1.8729355
81,5.45,5.45,5.28,0,1.8729355,1.8729355
82,5.45,5.45,5.28,0,1.8729355,1.8729355
83,5.45,5.45,5.28,0,1.8729355,1.8729355
84,5.45,5.45,5.28,0,1.8729355,1.8729355
85,5.45,5.45,5.28,0,1.8729355,1.8729355
86,5.45,5.45,5.28,0,1.8729355,1.8729355
87,5.45,5.45,5.28,0,1.8729355,1.8729355
88,5.45,5.45,5.28,0,1.8729355,1.8729355
89,5.45,5.45,5.28,0,1.8729355,1.8729355
90,5.45,5.45,5.28,0,1.8729355,1.8729355
91,5.45,5.45,5.28,0,1.8729355,1.8729355
92,5.45,5.45,5.28,0,1.8729355,1.8729355
93,5.45,5.45,5.28,0,1.8729355,1.8729355
94,5.45,5.45,5.28,0,1.8729355,1.8729355
95,5.45,5.45,5.28,0,1.8729355,1.8729355
96,5.45,5.45,5.28,0,1.8729355,1.8729355
97,5.45,5.45,5.28,0,1.8729355,1.8729355
98,5.45,5.45,5.28,0,1.8729355,1.8729355
99,5.45,5.45,5.28,0,1.8729355,1.8729355
100,5.45,5.45,5.28,0,1.8729355,1.8729355
101,5.45,5.45,5.28,0,1.8729355,1.8729355
102,5.45,5.45,5.28,0,1.8729355,1.8729355
103,5.45,5.45,5.28,0,1.8729355,1.8729355
104,5.45,5.45,5.28,0,1.8729355,1.8729355
105,5.45,5.45,5.28,0,1.8729355,1.8729355
106,5.45,5.45,5.28,0,1.8729355,1.8729355
107,5.45,5.45,5.28,0,1.8729355,1.8729355
108,5.45,5.45,5.28,0,1.8729355,1.8729355
109,5.45,5.45,5.28,0,1.8729355,1.8729355
110,5.45,5.45,5.28,0,1.8729355,1.8729355
111,5.45,5.45,5.28,0,1.8729355,1.8729355
112,5.45,5.45,5.28,0,1.8729355,1.8729355
113,5.45,5.45,5.28,0,1.8729355,1.8729355
114,5.45,5.45,5.28,0,1.8729355,1.8729355
115,5.45,5.45,5.28,0,1.8729355,1.8729355
116,5.45,5.45,5.28,0,1.8729355,1.8729355
117,5.45,5.45,5.28,0,1.8729355,1.8729355
118,5.45,5.45,5.28,0,1.8729355,1.8729355
119,5.45,5.45,5.28,0,1.8729355,1.8729355
120,5.45,5.45,5.28,0,1.8729355,1.8729355
121,5.45,5.45,5.28,0,1.8729355,1.8729355
122,5.45,5.45,5.28,0,1.8729355,1.8729355
123,5.45,5.45,5.28,0,1.8729355,1.8729355
124,5.45,5.45,5.28,0,1.8729355,1.8729355
125,5.45,5.45,5.28,0,1.8729355,1.8729355
126,5.45,5.45,5.28,0,1.8729355,1.8729355
127,5.45,5.45,5.28,0,1.8729355,1.8729355
128,5.45,5.45,5.28,0,1.8729355,1.8729355
129,5.45,5.45,5.28,0,1.8729355,1.8729355
130,5.45,5.45,5.28,0,1.8729355,1.8729355
131,5.45,5.45,5.28,0,1.8729355,1.8729355
132,5.45,5.45,5.28,0,1.8729355,1.8729355
133,5.45,5.45,5.28,0,1.8729355,1.8729355
134,5.45,5.45,5.28,0,1.8729355,1.8729355
135,5.45,5.45,5.28,0,1.8729355,1.8729355
136,5.45,5.45,5.28,0,1.8729355,1.8729355
137,5.45,5.45,5.28,0,1.8729355,1.8729355
138,5.45,5.45,5.28,0,1.8729355,1.8729355
139,5.45,5.45,5.28,0,1.8729355,1.8729355
140,5.45,5.45,5.28,0,1.8729355,1.8729355
141,5.45,5.45,5.28,0,1.8729355,1.8729355
142,5.45,5.45,5.28,0,1.8729355,1.8729355
143,5.45,5.45,5.28,0,1.8729355,1.8729355
144,5.45,5.45,5.28,0,1.8729355,1.8729355
145,5.45,5.45,5.28,0,1.8729355,1.8729355
146,5.45,5.45,5.28,0,1.8729355,1.8729355
147,5.45,5.45,5.28,0,1.8729355,1.8729355
148,5.45,5.45,5.28,0,1.8729355,1.8729355
149,5.45,5.45,5.28,0,1.8729355,1.8729355
150,5.45,5.45,5.28,0,1.8729355,1.8729355
151,5.45,5.45,5.28,0,1.8729355,1.8729355
152,5.45,5.45,5.28,0,1.8729355,1.8729355
153,5.45,5.45,5.28,0,1.8729355,1.8729355
154,5.45,5.45,5.28,0,1.8729355,1.8729355
155,5.45,5.45,5.28,0,1.8729355,1.8729355
156,5.45,5.45,5.28,0,1.8729355,1.8729355
157,5.45,5.45,5.28,0,1.8729355,1.8729355
158,5.45,5.45,5.28,0,1.8729355,1.8729355
159,5.45,5.45,5.28,0,1.8729355,1.8729355
160,5.45,5.45,5.28,0,1.8729355,1.8729355
161,5.45,5.45,5.28,0,1.8729355,1.8729355
162,5.45,5.45,5.28,0,1.8729355,1.8729355
163,5.45,5.45,5.28,0,1.8729355,1.8729355
164,5.45,5.45,5.28,0,1.8729355,1.8729355
165,5.45,5.45,5.28,0,1.8729355,1.8729355
166,5.45,5.45,5.28,0,1.8729355,1.8729355
167,5.45,5.45,5.28,0,1.8729355,1.8729355
168,5.45,5.45,5.28,0,1.8729355,1.8729355
169,5.45,5.45,5.28,0,1.8729355,1.8729355
170,5.45,5.45,5.28,0,1.8729355,1.8729355
171,5.45,5.45,5.28,0,1.8729355,1.8729355
172,5.45,5.45,5.28,0,1.8729355,1.8729355
173,5.45,5.45,5.28,0,1.8729355,1.8729355
174,5.45,5.45,5.28,0,1.8729355,1.8729355
175,5.45,5.45,5.28,0,1.8729355,1.8729355
176,5.45,5.45,5.28,0,1.8729355,1.8729355
177,5.45,5.45,5.28,0,1.8729355,1.8729355
178,5.45,5.45,5.28,0,1.8729355,1.8729355
179,5.45,5.45,5.28,0,1.8729355,1.8729355
180,5.45,5.45,5.28,0,1.8729355,1.8729355
181,5.45,5.45,5.28,0,1.8729355,1.8729355
182,5.45,5.45,5.28,0,1.8729355,1.8729355
183,5.45,5.45,5.28,0,1.8729355,1.8729355
184,5.45,5.45,5.28,0,1.8729355,1.8729355
185,5.45,5.45,5.28,0,1.8729355,1.8729355
186,5.45,5.45,5.28,0,1.8729355,1.8729355
187,5.45,5.45,5.28,0,1.8729355,1.8729355
188,5.45,5.45,5.28,0,1.8729355,1.8729355
189,5.45,5.45,5.28,0,1.8729355,1.8729355
190,5.45,5.45,5.28,0,1.8729355,1.8729355
191,5.45,5.45,5.28,0,1.8729355,1.8729355
192,5.45,5.45,5.28,0,1.8729355,1.8729355
193,5.45,5.45,5.28,0,1.8729355,1.8729355
194,5.45,5.45,5.28,0,1.8729355,1.8729355
195,5.45,5.45,5.28,0,1.8729355,1.8729355
196,5.45,5.45,5.28,0,1.8729355,1.8729355
197,5.45,5.45,5.28,0,1.8729355,1.8729355
198,5.45,5.45,5.28,0,1.8729355,1.8729355
199,5.45,5.45,5.28,0,1.8729355,1.8729355
200,5.45,5.45,5.28,0,1.8729355,1.8729355
201,5.45,5.45,5.28,0,1.8729355,1.8729355
202,5.45,5.45,5.28,0,1.8729355,1.8729355
203,5.45,5.45,5.28,0,1.8729355,1.8729355
204,5.45,5.45,5.28,0,1.8729355,1.8729355
205,5.45,5.45,5.28,0,1.8729355,1.8729355
206,5.45,5.45,5.28,0,1.8729355,1.8729355
207,5.45,5.45,5.28,0,1.8729355,1.8729355
208,5.45,5.45,5.28,0,1.8729355,1.8729355
209,5.45,5.45,5.28,0,1.8729355,1.8729355
210,5.45,5.45,5.28,0,1.8729355,1.8729355
211,5.45,5.45,5.28,0,1.8729355,1.8729355
212,5.45,5.45,5.28,0,1.8729355,1.8729355
213,5.45,5.45,5.28,0,1.8729355,1.8729355
214,5.45,5.45,5.28,0,1.8729355,1.8729355
215,5.45,5.45,5.28,0,1.8729355,1.8729355
216,5.45,5.45,5.28,0,1.8729355,1.8729355
217,5.45,5.45,5.28,0,1.8729355,1.8729355
218,5.45,5.45,5.28,0,1.8729355,1.8729355
219,5.45,5.45,5.28,0,1.8729355,1.8729355
220,5.45,5.45,5.28,0,1.8729355,1.8729355
221,5.45,5.45,5.28,0,1.8729355,1.8729355
222,5.45,5.45,5.28,0,1.8729355,1.8729355
223,5.45,5.45,5.28,0,1.8729355,1.8729355
224,5.45,5.45,5.28,0,1.8729355,1.8729355
225,5.45,5.45,5.28,0,1.8729355,1.8729355
226,5.45,5.45,5.28,0,1.8729355,1.8729355
227,5.45,5.45,5.28,0,1.8729355,1.8729355
228,5.45,5.45,5.28,0,1.8729355,1.8729355
229,5.45,5.45,5.28,0,1.8729355,1.8729355
230,5.45,5.45,5.28,0,1.8729355,1.8729355
231,5.45,5.45,5.28,0,1.8729355,1.8729355
232,5.45,5.45,5.28,0,1.8729355,1.8729355
233,5.45,5.45,5.28,0,1.8729355,1.8729355
234,5.45,5.45,5.28,0,1.8729355,1.8729355
235,5.45,5.45,5.28,0,1.8729355,1.8729355
236,5.45,5.45,5.28,0,1.8729355,1.8729355
237,5.45,5.45,5.28,0,1.8729355,1.8729355
238,5.45,5.45,5.28,0,1.8729355,1.8729355
239,5.45,5.45,5.28,0,1.8729355,1.8729355
240,5.45,5.45,5.28,0,1.8729355,1.8729355
241,5.45,5.45,5.28,0,1.8729355,1.8729355
242,5.45,5.45,5.28,0,1.8729355,1.8729355
243,5.45,5.45,5.28,0,1.8729355,1.8729355
244,5.45,5.45,5.28,0,1.8729355,1.8729355
245,5.45,5.45,5.28,0,1.8729355,1.8729355
246,5.45,5.45,5.28,0,1.8729355,1.8729355
247,5.45,5.45,5.28,0,1.8729355,1.8729355
248,5.45,5.45,5.28,0,1.8729355,1.8729355
249,5.45,5.45,5.28,0,1.8729355,1.8729355
250,5.45,5.45,5.28,0,1.8729355,1.8729355
251,5.45,5.45,5.28,0,1.8729355,1.8729355
252,5.45,5.45,5.28,0,1.8729355,1.8729355
253,5.45,5.45,5.28,0,1.8729355,1.8729355
254,5.45,5.45,5.28,0,1.8729355,1.8729355
255,5.45,5.45,5.28,0,1.8729355,1.8729355
256,5.45,5.45,5.28,0,1.8729355,1.8729355
257,5.45,5.45,5.28,0,1.8729355,1.8729355
258,5.45,5.45,5.28,0,1.8729355,1.8729355
259,5.45,5.45,5.28,0,1.8729355,1.8729355
260,5.45,5.45,5.28,0,1.8729355,1.8729355
261,5.45,5.45,5.28,0,1.8729355,1.8729355
262,5.45,5.45,5.28,0,1.8729355,1.8729355
263,5.45,5.45,5.28,0,1.8729355,1.8729355
264,5.45,5.45,5.28,0,1.8729355,1.8729355
265,5.45,5.45,5.28,0,1.8729355,1.8729355
266,5.45,5.45,5.28,0,1.8729355,1.8729355
267,5.45,5.45,5.28,0,1.8729355,1.8729355
268,5.45,5.45,5.28,0,1.8729355,1.8729355
269,5.45,5.45,5.28,0,1.8729355,1.8729355
270,5.45,5.45,5.28,0,1.8729355,1.8729355
271,5.45,5.45,5.28,0,1.8729355,1.8729355
272,5.45,5.45,5.28,0,1.8729355,1.8729355
273,5.45,5.45,5.28,0,1.8729355,1.8729355
274,5.45,5.45,5.28,0,1.8729355,1.8729355
275,5.45,5.45,5.28,0,1.8729355,1.8729355
276,5.45,5.45,5.28,0,1.8729355,1.8729355
277,5.45,5.45,5.28,0,1.8729355,1.8729355
278,5.45,5.45,5.28,0,1.8729355,1.8729355
279,5.45,5.45,5.28,0,1.8729355,1.8729355
280,5.45,5.45,5.28,0,1.8729355,1.8729355
281,5.45,5.45,5.28,0,1.8729355,1.8729355
282,5.45,5.45,5.28,0,1.8729355,1.8729355
283,5.45,5.45,5.28,0,1.8729355,1.8729355
284,5.45,5.45,5.28,0,1.8729355,1.8729355
285,5.45,5.45,5.28,0,1.8729355,1.8729355
286,5.45,5.45,5.28,0,1.8729355,1.8729355
287,5.45,5.45,5.28,0,1.8729355,1.8729355
288,5.45,5.45,5.28,0,1.8729355,1.8729355
289,5.45,5.45,5.28,0,1.8729355,1.8729355
290,5.45,5.45,5.28,0,1.8729355,1.8729355
291,5.45,5.45,5.28,0,1.8729355,1.8729355
292,5.45,5.45,5.28,0,1.8729355,1.8729355
293,5.45,5.45,5.28,0,1.8729355,1.8729355
294,5.45,5.45,5.28,0,1.8729355,1.8729355
295,5.45,5.45,5.28,0,1.8729355,1.8729355
296,5.45,5.45,5.28,0,1.8729355,1.8729355
297,5.45,5.45,5.28,0,1.8729355,1.8729355
298,5.45,5.45,5.28,0,1.8729355,1.8729355
299,5.45,5.45,5.28,0,1.8729355,1.8729355
300,5.45,5.45,5.28,0,1.8729355,1.8729355
301,5.45,5.45,5.28,0,1.8729355,1.8729355
302,5.45,5.45,5.28,0,1.8729355,1.8729355
303,5.45,5.45,5.28,0,1.8729355,1.8729355
304,5.45,5.45,5.28,0,1.8729355,1.8729355
305,5.45,5.45,5.28,0,1.8729355,1.8729355
306,5.45,5.45,5.28,0,1.8729355,1.8729355
307,5.45,5.45,5.28,0,1.8729355,1.8729355
308,5.45,5.45,5.28,0,1.8729355,1.8729355
309,5.45,5.45,5.28,0,1.8729355,1.8729355
310,5.45,5.45,5.28,0,1.8729355,1.8729355
311,5.45,5.45,5.28,0,1.8729355,1.8729355
312,5.45,5.45,5.28,0,1.8729355,1.8729355
313,5.45,5.45,5.28,0,1.8729355,1.8729355
314,5.45,5.45,5.28,0,1.8729355,1.8729355
315,5.45,5.45,5.28,0,1.8729355,1.8729355
316,5.45,5.45,5.28,0,1.8729355,1.8729355
317,5.45,5.45,5.28,0,1.8729355,1.8729355
318,5.45,5.45,5.28,0,1.8729355,1.8729355
319,5.45,5.45,5.28,0,1.8729355,1.8729355
320,5.45,5.45,5.28,0,1.8729355,1.8729355
321,5.45,5.45,5.28,0,1.8729355,1.8729355
322,5.45,5.45,5.28,0,1.8729355,1.8729355
323,5.45,5.45,5.28,0,1.8729355,1.8729355
324,5.45,5.45,5.28,0,1.8729355,1.8729355
325,5.45,5.45,5.28,0,1.8729355,1.8729355
326,5.45,5.45,5.28,0,1.8729355,1.8729355
327,5.45,5.45,5.28,0,1.8729355,1.8729355
328,5.45,5.45,5.28,0,1.8729355,1.8729355
329,5.45,5.45,5.28,0,1.8729355,1.8729355
330,5.45,5.45,5.28,0,1.8729355,1.8729355
331,5.45,5.45,5.28,0,1.8729355,1.8729355
332,5.45,5.45,5.28,0,1.8729355,1.8729355
333,5.45,5.45,5.28,0,1.8729355,1.8729355
334,5.45,5.45,5.28,0,1.8729355,1.8729355
335,5.45,5.45,5.28,0,1.8729355,1.8729355
336,5.45,5.45,5.28,0,1.8729355,1.8729355
337,5.45,5.45,5.28,0,1.8729355,1.8729355
338,5.45,5.45,5.28,0,1.8729355,1.8729355
339,5.45,5.45,5.28,0,1.8729355,1.8729355
340,5.45,5.45,5.28,0,1.8729355,1.8729355
341,5.45,5.45,5.28,0,1.8729355,1.8729355
342,5.45,5.45,5.28,0,1.8729355,1.8729355
343,5.45,5.45,5.28,0,1.8729355,1.8729355
344,5.45,5.45,5.28,0,1.8729355,1.8729355
345,5.45,5.45,5.28,0,1.8729355,1.8729355
346,5.45,5.45,5.28,0,1.8729355,1.8729355
347,5.45,5.45,5.28,0,1.8729355,1.8729355
348,5.45,5.45,5.28,0,1.8729355,1.8729355
349,5.45,5.45,5.28,0,1.8729355,1.8729355
350,5.45,5.45,5.28,0,1.8729355,1.8729355
351,5.45,5.45,5.28,0,1.8729355,1.8729355
352,5.45,5.45,5.28,0,1.8729355,1.8729355
353,5.45,5.45,5.28,0,1.8729355,1.8729355
354,5.45,5.45,5.28,0,1.8729355,1.8729355
355,5.45,5.45,5.28,0,1.8729355,1.8729355
356,5.45,5.45,5.28,0,1.8729355,1.8729355
357,5.45,5.45,5.28,0,1.8729355,1.8729355
358,5.45,5.45,5.28,0,1.8729355,1.8729355
359,5.45,5.45,5.28,0,1.8729355,1.8729355
360,5.45,5.45,5.28,0,1.8729355,1.8729355
361,5.45,5.45,5.28,0,1.8729355,1.8729355
362,5.45,5.45,5.28,0,1.8729355,1.8729355
363,5.45,5.45,5.28,0,1.8729355,1.8729355
364,5.45,5.45,5.28,0,1.8729355,1.8729355
365,5.45,5.45,5.28,0,1.8729355,1.8729355
366,5.45,5.45,5.28,0,1.8729355,1.8729355
367,5.45,5.45,5.28,0,1.8729355,1.8729355
368,5.45,5.45,5.28,0,1.8729355,1.8729355
369,5.45,5.45,5.28,0,1.8729355,1.8729355
370,5.45,5.45,5.28,0,1.8729355,1.8729355
371,5.45,5.45,5.28,0,1.8729355,1.8729355
372,5.45,5.45,5.28,0,1.8729355,1.8729355
373,5.45,5.45,5.28,0,1.8729355,1.8729355
374,5.45,5.45,5.28,0,1.8729355,1.8729355
375,5.45,5.45,5.28,0,1.8729355,1.8729355
376,5.45,5.45,5.28,0,1.8729355,1.8729355
377,5.45,5.45,5.28,0,1.8729355,1.8729355
378,5.45,5.45,5.28,0,1.8729355,1.8729355
379,5.45,5.45,5.28,0,1.8729355,1.8729355
380,5.45,5.45,5.28,0,1.8729355,1.8729355
381,5.45,5.45,5.28,0,1.8729355,1.8729355
382,5.45,5.45,5.28,0,1.8729355,1.8729355
383,5.45,5.45,5.28,0,1.8729355,1.8729355
384,5.45,5.45,5.28,0,1.8729355,1.8729355
385,5.45,5.45,5.28,0,1.8729355,1.8729355
386,5.45,5.45,5.28,0,1.8729355,1.8729355
387,5.45,5.45,5.28,0,1.8729355,1.8729355
388,5.45,5.45,5.28,0,1.8729355,1.8729355
389,5.45,5.45,5.28,0,1.8729355,1.8729355
390,5.45,5.45,5.28,0,1.8729355,1.8729355
391,5.45,5.45,5.28,0,1.8729355,1.8729355
392,5.45,5.45,5.28,0,1.8729355,1.8729355
393,5.45,5.45,5.28,0,1.8729355,1.8729355
394,5.45,5.45,5.28,0,1.8729355,1.8729355
395,5.45,5.45,5.28,0,1.8729355,1.8729355
396,5.45,5.45,5.28,0,1.8729355,1.8729355
397,5.45,5.45,5.28,0,1.8729355,1.8729355
398,5.45,5.45,5.28,0,1.8729355,1.8729355
399,5.45,5.45,5.28,0,1.8729355,1.8729355
400,5.45,5.45,5.28,0,1.8729355,1.8729355
401,5.45,5.45,5.28,0,1.8729355,1.8729355
402,5.45,5.45,5.28,0,1.8729355,1.8729355
403,5.45,5.45,5.28,0,1.8729355,1.8729355
404,5.45,5.45,5.28,0,1.8729355,1.8729355
405,5.45,5.45,5.28,0,1.8729355,1.8729355
406,5.45,5.45,5.28,0,1.8729355,1.8729355
407,5.45,5.45,5.28,0,1.8729355,1.8729355
408,5.45,5.45,5.28,0,1.8729355,1.8729355
409,5.45,5.45,5.28,0,1.8729355,1.8729355
410,5.45,5.45,5.28,0,1.8729355,1.8729355
411,5.45,5.45,5.28,0,1.8729355,1.8729355
412,5.45,5.45,5.28,0,1.8729355,1.8729355
413,5.45,5.45,5.28,0,1.8729355,1.8729355
414,5.45,5.45,5.28,0,1.8729355,1.8729355
415,5.45,5.45,5.28,0,1.8729355,1.8729355
416,5.45,5.45,5.28,0,1.8729355,1.8729355
417,5.45,5.45,5.28,0,1.8729355,1.8729355
418,5.45,5.45,5.28,0,1.8729355,1.8729355
419,5.45,5.45,5.28,0,1.8729355,1.8729355
420,5.45,5.45,5.28,0,1.8729355,1.8729355
421,5.45,5.45,5.28,0,1.8729355,1.8729355
422,5.45,5.45,5.28,0,1.8729355,1.8729355
423,5.45,5.45,5.28,0,1.8729355,1.8729355
424,5.45,5.45,5.28,0,1.8729355,1.8729355
425,5.45,5.45,5.28,0,1.8729355,1.8729355
426,5.45,5.45,5.28,0,1.8729355,1.8729355
427,5.45,5.45,5.28,0,1.8729355,1.8729355
428,5.45,5.45,5.28,0,1.8729355,1.8729355
429,5.45,5.45,5.28,0,1.8729355,1.8729355
430,5.45,5.45,5.28,0,1.8729355,1.8729355
431,5.45,5.45,5.28,0,1.8729355,1.8729355
432,5.45,5.45,5.28,0,1.8729355,1.8729355
433,5.45,5.45,5.28,0,1.8729355,1.8729355
434,5.45,5.45,5.28,0,1.8729355,1.8729355
435,5.45,5.45,5.28,0,1.8729355,1.8729355
436,5.45,5.45,5.28,0,1.8729355,1.8729355
437,5.45,5.45,5.28,0,1.8729355,1.8729355
438,5.45,5.45,5.28,0,1.8729355,1.8729355
439,5.45,5.45,5.28,0,1.8729355,1.8729355
440,5.45,5.45,5.28,0,1.8729355,1.8729355
441,5.45,5.45,5.28,0,1.8729355,1.8729355
442,5.45,5.45,5.28,0,1.8729355,1.8729355
443,5.45,5.45,5.28,0,1.8729355,1.8729355
444,5.45,5.45,5.28,0,1.8729355,1.8729355
445,5.45,5.45,5.28,0,1.8729355,1.8729355
446,5.45,5.45,5.28,0,1.8729355,1.8729355
447,5.45,5.45,5.28,0,1.8729355,1.8729355
448,5.45,5.45,5.28,0,1.8729355,1.8729355
449,5.45,5.45,5.28,0,1.8729355,1.8729355
450,5.45,5.45,5.28,0,1.8729355,1.8729355
451,5.45,5.45,5.28,0,1.8729355,1.8729355
452,5.45,5.45,5.28,0,1.8729355,1.8729355
453,5.45,5.45,5.28,0,1.8729355,1.8729355
454,5.45,5.45,5.28,0,1.8729355,1.8729355
455,5.45,5.45,5.28,0,1.8729355,1.8729355
456,5.45,5.45,5.28,0,1.8729355,1.8729355
457,5.45,5.45,5.28,0,1.8729355,1.8729355
458,5.45,5.45,5.28,0,1.8729355,1.8729355
459,5.45,5.45,5.28,0,1.8729355,1.8729355
460,5.45,5.45,5.28,0,1.8729355,1.8729355
461,5.45,5.45,5.28,0,1.8729355,1.8729355
462,5.45,5.45,5.28,0,1.8729355,1.8729355
463,5.45,5.45,5.28,0,1.8729355,1.8729355
464,5.45,5.45,5.28,0,1.8729355,1.8729355
465,5.45,5.45,5.28,0,1.8729355,1.8729355
466,5.45,5.45,5.28,0,1.8729355,1.8729355
467,5.45,5.45,5.28,0,1.8729355,1.8729355
468,5.45,5.45,5.28,0,1.8729355,1.8729355
469,5.45,5.45,5.28,0,1.8729355,1.8729355
470,5.45,5.45,5.28,0,1.8729355,1.8729355
471,5.45,5.45,5.28,0,1.8729355,1.8729355
472,5.45,5.45,5.28,0,1.8729355,1.8729355
473,5.45,5.45,5.28,0,1.8729355,1.8729355
474,5.45,5.45,5.28,0,1.8729355,1.8729355
475,5.45,5.45,5.28,0,1.8729355,1.8729355
476,5.45,5.45,5.28,0,1.8729355,1.8729355
477,5.45,5.45,5.28,0,1.8729355,1.8729355
478,5.45,5.45,5.28,0,1.8729355,1.8729355
479,5.45,5.45,5.28,0,1.8729355,1.8729355
480,5.45,5.45,5.28,0,1.8729355,1.8729355
481,5.45,5.45,5.28,0,1.8729355,1.8729355
482,5.45,5.45,5.28,0,1.8729355,1.8729355
483,5.45,5.45,5.28,0,1.8729355,1.8729355
484,5.45,5.45,5.28,0,1.8729355,1.8729355
485,5.45,5.45,5.28,0,1.8729355,1.8729355
486,5.45,5.45,5.28,0,1.8729355,1.8729355
487,5.45,5.45,5.28,0,1.8729355,1.8729355
488,5.45,5.45,5.28,0,1.8729355,1.8729355
489,5.45,5.45,5.28,0,1.8729355,1.8729355
490,5.45,5.45,5.28,0,1.8729355,1.8729355
491,5.45,5.45,5.28,0,1.8729355,1.8729355
492,5.45,5.45,5.28,0,1.8729355,1.8729355
493,5.45,5.45,5.28,0,1.8729355,1.8729355
494,5.45,5.45,5.28,0,1.8729355,1.8729355
495,5.45,5.45,5.28,0,1.8729355,1.8729355
496,5.45,5.45,5.28,0,1.8729355,1.8729355
