Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,47,0,0,0,0,119.748,0,171,0,163.2
,,,,,,,,48,0,0,0,0,109.2,0,155.94,0,148.92
,,,,,,,,49,0,0,0,0,99.648,0,142.32,0,135.84
,,,,,,,,50,0,0,0,0,93.312,0,133.26,0,127.2
,,,,,,,,51,0,0,0,0,90.156,0,128.7,0,122.88
,,,,,,,,52,0,0,0,0,88.632,0,126.54,0,120.84
,,,,,,,,53,0,0,0,0,88.812,0,126.84,0,121.08
,,,,,,,,54,0,0,0,0,92.004,0,131.34,0,125.4
,,,,,,,,55,0,0,0,0,101.46,0,144.84,0,138.24
,,,,,,,,56,0,0,0,0,118.176,0,168.72,0,161.16
,,,,,,,,57,0,0,0,0,127.548,0,182.1,0,173.88
,,,,,,,,58,0,0,0,0,129.132,0,184.38,0,176.04
,,,,,,,,59,0,0,0,0,130.02,0,185.64,0,177.24
,,,,,,,,60,0,0,0,0,131.184,0,187.32,0,178.8
,,,,,,,,61,0,0,0,0,131.4,0,187.62,0,179.16
,,,,,,,,62,0,0,0,0,130.86,0,186.9,0,178.44
,,,,,,,,63,0,0,0,0,130.68,0,186.66,0,178.08
,,,,,,,,64,0,0,0,0,130.188,0,185.88,0,177.48
,,,,,,,,65,0,0,0,0,131.988,0,188.46,0,179.88
,,,,,,,,66,0,0,0,0,142.296,0,203.16,0,193.92
,,,,,,,,67,0,0,0,0,153.552,0,219.24,0,209.4
,,,,,,,,68,0,0,0,0,153.852,0,219.66,0,209.76
,,,,,,,,69,0,0,0,0,151.26,0,216,0,206.28
,,,,,,,,70,0,0,0,0,146.34,0,208.98,0,199.56
,,,,,,,,71,0,0,0,0,137.712,0,196.62,0,187.8
,,,,,,,,72,0,0,0,0,126.18,0,180.18,0,172.08
,,,,,,,,73,0,0,0,0,116.088,0,165.78,0,158.28
,,,,,,,,74,0,0,0,0,109.812,0,156.84,0,149.64
,,,,,,,,75,0,0,0,0,106.512,0,152.1,0,145.2
,,,,,,,,76,0,0,0,0,104.832,0,149.7,0,142.92
,,,,,,,,77,0,0,0,0,105.024,0,149.94,0,143.16
,,,,,,,,78,0,0,0,0,107.88,0,154.08,0,147.12
,,,,,,,,79,0,0,0,0,116.796,0,166.8,0,159.24
,,,,,,,,80,0,0,0,0,133.008,0,189.96,0,181.32
,,,,,,,,81,0,0,0,0,141.84,0,202.56,0,193.32
,,,,,,,,82,0,0,0,0,142.008,0,202.8,0,193.68
,,,,,,,,83,0,0,0,0,141.636,0,202.26,0,193.08
,,,,,,,,84,0,0,0,0,141.324,0,201.78,0,192.6
,,,,,,,,85,0,0,0,0,139.932,0,199.8,0,190.8
,,,,,,,,86,0,0,0,0,137.928,0,196.98,0,188.04
,,,,,,,,87,0,0,0,0,136.74,0,195.3,0,186.48
,,,,,,,,88,0,0,0,0,135.672,0,193.74,0,184.92
,,,,,,,,89,0,0,0,0,137.076,0,195.72,0,186.84
,,,,,,,,90,0,0,0,0,146.652,0,209.46,0,199.92
,,,,,,,,91,0,0,0,0,154.452,0,220.56,0,210.6
,,,,,,,,92,0,0,0,0,153.264,0,218.82,0,208.92
,,,,,,,,93,0,0,0,0,149.688,0,213.72,0,204.12
,,,,,,,,94,0,0,0,0,143.964,0,205.56,0,196.2
,,,,,,,,95,0,0,0,0,134.484,0,192.06,0,183.36
,,,,,,,,96,0,0,0,0,122.412,0,174.84,0,166.92
,,,,,,,,97,0,0,0,0,111.24,0,158.88,0,151.68
,,,,,,,,98,0,0,0,0,104.112,0,148.68,0,141.84
,,,,,,,,99,0,0,0,0,100.296,0,143.22,0,136.8
,,,,,,,,100,0,0,0,0,98.376,0,140.46,0,134.04
,,,,,,,,101,0,0,0,0,98.016,0,139.98,0,133.68
,,,,,,,,102,0,0,0,0,100.536,0,143.58,0,137.04
,,,,,,,,103,0,0,0,0,108.78,0,155.34,0,148.32
,,,,,,,,104,0,0,0,0,124.452,0,177.72,0,169.68
,,,,,,,,105,0,0,0,0,133.632,0,190.86,0,182.16
,,,,,,,,106,0,0,0,0,134.604,0,192.24,0,183.6
,,,,,,,,107,0,0,0,0,135.204,0,193.08,0,184.32
,,,,,,,,108,0,0,0,0,134.592,0,192.18,0,183.6
,,,,,,,,109,0,0,0,0,132.708,0,189.54,0,180.96
,,,,,,,,110,0,0,0,0,131.076,0,187.14,0,178.68
,,,,,,,,111,0,0,0,0,130.428,0,186.24,0,177.84
,,,,,,,,112,0,0,0,0,129.396,0,184.8,0,176.4
,,,,,,,,113,0,0,0,0,130.236,0,186,0,177.48
,,,,,,,,114,0,0,0,0,138.504,0,197.76,0,188.88
,,,,,,,,115,0,0,0,0,147.564,0,210.72,0,201.12
,,,,,,,,116,0,0,0,0,147.024,0,209.94,0,200.52
,,,,,,,,117,0,0,0,0,143.688,0,205.2,0,195.84
,,,,,,,,118,0,0,0,0,138.324,0,197.52,0,188.52
,,,,,,,,119,0,0,0,0,129.456,0,184.86,0,176.52
,,,,,,,,120,0,0,0,0,117.54,0,167.82,0,160.2
,,,,,,,,121,0,0,0,0,107.244,0,153.18,0,146.16
,,,,,,,,122,0,0,0,0,100.512,0,143.52,0,136.92
,,,,,,,,123,0,0,0,0,96.852,0,138.3,0,132
,,,,,,,,124,0,0,0,0,94.98,0,135.6,0,129.48
,,,,,,,,125,0,0,0,0,94.512,0,134.94,0,128.88
,,,,,,,,126,0,0,0,0,96.816,0,138.24,0,132
,,,,,,,,127,0,0,0,0,105,0,149.94,0,143.16
,,,,,,,,128,0,0,0,0,120.384,0,171.9,0,164.16
,,,,,,,,129,0,0,0,0,129.6,0,185.1,0,176.76
,,,,,,,,130,0,0,0,0,130.68,0,186.6,0,178.08
,,,,,,,,131,0,0,0,0,130.812,0,186.78,0,178.32
,,,,,,,,132,0,0,0,0,130.236,0,186,0,177.48
,,,,,,,,133,0,0,0,0,128.304,0,183.18,0,174.96
,,,,,,,,134,0,0,0,0,126.18,0,180.18,0,172.08
,,,,,,,,135,0,0,0,0,125.076,0,178.56,0,170.52
,,,,,,,,136,0,0,0,0,123.336,0,176.1,0,168.12
,,,,,,,,137,0,0,0,0,123.924,0,177,0,168.96
,,,,,,,,138,0,0,0,0,131.16,0,187.26,0,178.8
,,,,,,,,139,0,0,0,0,138.084,0,197.16,0,188.28
,,,,,,,,140,0,0,0,0,135.864,0,194.04,0,185.28
,,,,,,,,141,0,0,0,0,131.952,0,188.4,0,179.88
,,,,,,,,142,0,0,0,0,126.732,0,180.96,0,172.8
,,,,,,,,143,0,0,0,0,119.928,0,171.3,0,163.56
,,,,,,,,144,0,0,0,0,110.688,0,158.1,0,150.84
,,,,,,,,145,0,0,0,0,101.184,0,144.48,0,138
,,,,,,,,146,0,0,0,0,93.828,0,134.04,0,127.92
,,,,,,,,147,0,0,0,0,89.76,0,128.16,0,122.4
,,,,,,,,148,0,0,0,0,87.552,0,124.98,0,119.28
,,,,,,,,149,0,0,0,0,86.652,0,123.78,0,118.08
,,,,,,,,150,0,0,0,0,87.516,0,124.98,0,119.28
,,,,,,,,151,0,0,0,0,90.852,0,129.72,0,123.84
,,,,,,,,152,0,0,0,0,96.876,0,138.3,0,132
,,,,,,,,153,0,0,0,0,103.224,0,147.36,0,140.64
,,,,,,,,154,0,0,0,0,109.716,0,156.66,0,149.64
,,,,,,,,155,0,0,0,0,113.652,0,162.24,0,154.92
,,,,,,,,156,0,0,0,0,114.756,0,163.86,0,156.36
,,,,,,,,157,0,0,0,0,113.832,0,162.54,0,155.16
,,,,,,,,158,0,0,0,0,111.744,0,159.54,0,152.28
,,,,,,,,159,0,0,0,0,109.38,0,156.18,0,149.04
,,,,,,,,160,0,0,0,0,107.712,0,153.84,0,146.88
,,,,,,,,161,0,0,0,0,108.864,0,155.46,0,148.32
,,,,,,,,162,0,0,0,0,116.832,0,166.8,0,159.36
,,,,,,,,163,0,0,0,0,124.836,0,178.2,0,170.16
,,,,,,,,164,0,0,0,0,123.36,0,176.16,0,168.24
,,,,,,,,165,0,0,0,0,119.4,0,170.52,0,162.84
,,,,,,,,166,0,0,0,0,115.656,0,165.12,0,157.68
,,,,,,,,167,0,0,0,0,110.244,0,157.44,0,150.24
,,,,,,,,168,0,0,0,0,103.164,0,147.3,0,140.64
,,,,,,,,169,0,0,0,0,95.376,0,136.2,0,130.08
,,,,,,,,170,0,0,0,0,88.848,0,126.84,0,121.2
,,,,,,,,171,0,0,0,0,85.068,0,121.44,0,115.92
,,,,,,,,172,0,0,0,0,82.824,0,118.26,0,112.92
,,,,,,,,173,0,0,0,0,82.224,0,117.42,0,112.08
,,,,,,,,174,0,0,0,0,82.848,0,118.32,0,112.92
,,,,,,,,175,0,0,0,0,85.26,0,121.74,0,116.28
,,,,,,,,176,0,0,0,0,89.928,0,128.4,0,122.52
,,,,,,,,177,0,0,0,0,94.812,0,135.36,0,129.24
,,,,,,,,178,0,0,0,0,101.616,0,145.08,0,138.48
,,,,,,,,179,0,0,0,0,106.872,0,152.64,0,145.68
,,,,,,,,180,0,0,0,0,110.196,0,157.38,0,150.24
,,,,,,,,181,0,0,0,0,112.272,0,160.32,0,153.12
,,,,,,,,182,0,0,0,0,112.632,0,160.8,0,153.6
,,,,,,,,183,0,0,0,0,112.008,0,159.9,0,152.64
,,,,,,,,184,0,0,0,0,111.612,0,159.36,0,152.16
,,,,,,,,185,0,0,0,0,113.172,0,161.64,0,154.32
,,,,,,,,186,0,0,0,0,122.88,0,175.5,0,167.52
,,,,,,,,187,0,0,0,0,132.972,0,189.9,0,181.32
,,,,,,,,188,0,0,0,0,132.768,0,189.6,0,181.08
,,,,,,,,189,0,0,0,0,129.348,0,184.68,0,176.28
,,,,,,,,190,0,0,0,0,124.86,0,178.26,0,170.16
,,,,,,,,191,0,0,0,0,117.492,0,167.76,0,160.2
,,,,,,,,192,0,0,0,0,107.796,0,153.9,0,147
,,,,,,,,193,0,0,0,0,99.312,0,141.84,0,135.36
,,,,,,,,194,0,0,0,0,93.756,0,133.86,0,127.8
,,,,,,,,195,0,0,0,0,91.08,0,130.08,0,124.2
,,,,,,,,196,0,0,0,0,90.084,0,128.64,0,122.88
,,,,,,,,197,0,0,0,0,90.432,0,129.12,0,123.24
,,,,,,,,198,0,0,0,0,93.696,0,133.8,0,127.8
,,,,,,,,199,0,0,0,0,103.104,0,147.24,0,140.52
,,,,,,,,200,0,0,0,0,120.036,0,171.42,0,163.56
,,,,,,,,201,0,0,0,0,129.816,0,185.4,0,177
,,,,,,,,202,0,0,0,0,130.776,0,186.72,0,178.32
,,,,,,,,203,0,0,0,0,130.908,0,186.9,0,178.44
,,,,,,,,204,0,0,0,0,130.836,0,186.84,0,178.44
,,,,,,,,205,0,0,0,0,129.72,0,185.22,0,176.88
,,,,,,,,206,0,0,0,0,127.524,0,182.1,0,173.88
,,,,,,,,207,0,0,0,0,126.156,0,180.12,0,172.08
,,,,,,,,208,0,0,0,0,124.392,0,177.6,0,169.68
,,,,,,,,209,0,0,0,0,124.812,0,178.2,0,170.16
,,,,,,,,210,0,0,0,0,133.212,0,190.2,0,181.68
,,,,,,,,211,0,0,0,0,144.528,0,206.4,0,197.04
,,,,,,,,212,0,0,0,0,144.18,0,205.86,0,196.56
,,,,,,,,213,0,0,0,0,140.316,0,200.34,0,191.28
,,,,,,,,214,0,0,0,0,134.7,0,192.3,0,183.6
,,,,,,,,215,0,0,0,0,125.436,0,179.1,0,171
,,,,,,,,216,0,0,0,0,113.64,0,162.24,0,154.92
,,,,,,,,217,0,0,0,0,103.2,0,147.36,0,140.64
,,,,,,,,218,0,0,0,0,96.348,0,137.58,0,131.4
,,,,,,,,219,0,0,0,0,92.94,0,132.72,0,126.6
,,,,,,,,220,0,0,0,0,91.068,0,130.02,0,124.2
,,,,,,,,221,0,0,0,0,90.936,0,129.84,0,123.96
,,,,,,,,222,0,0,0,0,93.564,0,133.62,0,127.56
,,,,,,,,223,0,0,0,0,102.252,0,146.04,0,139.32
,,,,,,,,224,0,0,0,0,118.716,0,169.5,0,161.88
,,,,,,,,225,0,0,0,0,127.512,0,182.1,0,173.88
,,,,,,,,226,0,0,0,0,127.98,0,182.76,0,174.48
,,,,,,,,227,0,0,0,0,128.628,0,183.66,0,175.32
,,,,,,,,228,0,0,0,0,128.676,0,183.72,0,175.44
,,,,,,,,229,0,0,0,0,127.428,0,181.98,0,173.76
,,,,,,,,230,0,0,0,0,125.328,0,178.98,0,170.88
,,,,,,,,231,0,0,0,0,124.26,0,177.42,0,169.44
,,,,,,,,232,0,0,0,0,123.144,0,175.8,0,167.88
,,,,,,,,233,0,0,0,0,123.984,0,177,0,168.96
,,,,,,,,234,0,0,0,0,132.096,0,188.64,0,180.12
,,,,,,,,235,0,0,0,0,141.336,0,201.78,0,192.6
,,,,,,,,236,0,0,0,0,140.292,0,200.34,0,191.28
,,,,,,,,237,0,0,0,0,136.812,0,195.36,0,186.6
,,,,,,,,238,0,0,0,0,131.676,0,188.04,0,179.52
,,,,,,,,239,0,0,0,0,123,0,175.62,0,167.76
,,,,,,,,240,0,0,0,0,111.564,0,159.3,0,152.04
,,,,,,,,241,0,0,0,0,101.616,0,145.08,0,138.48
,,,,,,,,242,0,0,0,0,95.304,0,136.14,0,129.96
,,,,,,,,243,0,0,0,0,92.148,0,131.58,0,125.64
,,,,,,,,244,0,0,0,0,90.696,0,129.48,0,123.6
,,,,,,,,245,0,0,0,0,91.104,0,130.08,0,124.2
,,,,,,,,246,0,0,0,0,93.96,0,134.16,0,128.04
,,,,,,,,247,0,0,0,0,103.356,0,147.54,0,140.88
,,,,,,,,248,0,0,0,0,119.892,0,171.24,0,163.56
,,,,,,,,249,0,0,0,0,128.664,0,183.72,0,175.44
,,,,,,,,250,0,0,0,0,128.676,0,183.72,0,175.44
,,,,,,,,251,0,0,0,0,127.908,0,182.64,0,174.36
,,,,,,,,252,0,0,0,0,127.452,0,181.98,0,173.76
,,,,,,,,253,0,0,0,0,126.432,0,180.54,0,172.32
,,,,,,,,254,0,0,0,0,124.656,0,177.96,0,169.92
,,,,,,,,255,0,0,0,0,123.936,0,177,0,168.96
,,,,,,,,256,0,0,0,0,122.76,0,175.26,0,167.28
,,,,,,,,257,0,0,0,0,123.588,0,176.46,0,168.48
,,,,,,,,258,0,0,0,0,131.58,0,187.86,0,179.4
,,,,,,,,259,0,0,0,0,141.372,0,201.9,0,192.72
,,,,,,,,260,0,0,0,0,140.844,0,201.12,0,192
,,,,,,,,261,0,0,0,0,137.376,0,196.2,0,187.2
,,,,,,,,262,0,0,0,0,132.108,0,188.64,0,180.12
,,,,,,,,263,0,0,0,0,123.06,0,175.74,0,167.76
,,,,,,,,264,0,0,0,0,111.3,0,158.94,0,151.8
,,,,,,,,265,0,0,0,0,100.944,0,144.12,0,137.52
,,,,,,,,266,0,0,0,0,94.104,0,134.34,0,128.28
,,,,,,,,267,0,0,0,0,90.348,0,129,0,123.12
,,,,,,,,268,0,0,0,0,88.572,0,126.48,0,120.72
,,,,,,,,269,0,0,0,0,88.536,0,126.42,0,120.6
,,,,,,,,270,0,0,0,0,91.284,0,130.32,0,124.44
,,,,,,,,271,0,0,0,0,99.864,0,142.56,0,136.2
,,,,,,,,272,0,0,0,0,115.296,0,164.64,0,157.2
,,,,,,,,273,0,0,0,0,125.964,0,179.88,0,171.72
,,,,,,,,274,0,0,0,0,128.928,0,184.08,0,175.68
,,,,,,,,275,0,0,0,0,131.028,0,187.14,0,178.68
,,,,,,,,276,0,0,0,0,132.876,0,189.72,0,181.08
,,,,,,,,277,0,0,0,0,133.344,0,190.38,0,181.8
,,,,,,,,278,0,0,0,0,132.816,0,189.66,0,181.08
,,,,,,,,279,0,0,0,0,132.228,0,188.82,0,180.24
,,,,,,,,280,0,0,0,0,130.476,0,186.3,0,177.84
,,,,,,,,281,0,0,0,0,130.164,0,185.88,0,177.48
,,,,,,,,282,0,0,0,0,136.368,0,194.76,0,186
,,,,,,,,283,0,0,0,0,143.412,0,204.78,0,195.6
,,,,,,,,284,0,0,0,0,141.96,0,202.68,0,193.56
,,,,,,,,285,0,0,0,0,137.748,0,196.68,0,187.8
,,,,,,,,286,0,0,0,0,131.964,0,188.4,0,179.88
,,,,,,,,287,0,0,0,0,122.688,0,175.2,0,167.16
,,,,,,,,288,0,0,0,0,111.012,0,158.52,0,151.32
,,,,,,,,289,0,0,0,0,100.86,0,144,0,137.52
,,,,,,,,290,0,0,0,0,93.732,0,133.86,0,127.8
,,,,,,,,291,0,0,0,0,90.156,0,128.7,0,122.88
,,,,,,,,292,0,0,0,0,88.452,0,126.3,0,120.48
,,,,,,,,293,0,0,0,0,88.128,0,125.88,0,120.12
,,,,,,,,294,0,0,0,0,90.504,0,129.24,0,123.36
,,,,,,,,295,0,0,0,0,98.604,0,140.82,0,134.4
,,,,,,,,296,0,0,0,0,114.012,0,162.78,0,155.4
,,,,,,,,297,0,0,0,0,124.08,0,177.18,0,169.08
,,,,,,,,298,0,0,0,0,126.036,0,180,0,171.84
,,,,,,,,299,0,0,0,0,126.576,0,180.72,0,172.56
,,,,,,,,300,0,0,0,0,126.744,0,180.96,0,172.8
,,,,,,,,301,0,0,0,0,126.192,0,180.18,0,172.08
,,,,,,,,302,0,0,0,0,125.04,0,178.56,0,170.52
,,,,,,,,303,0,0,0,0,124.536,0,177.84,0,169.8
,,,,,,,,304,0,0,0,0,124.068,0,177.18,0,169.08
,,,,,,,,305,0,0,0,0,125.868,0,179.7,0,171.6
,,,,,,,,306,0,0,0,0,133.692,0,190.92,0,182.28
,,,,,,,,307,0,0,0,0,141.54,0,202.14,0,192.96
,,,,,,,,308,0,0,0,0,140.256,0,200.28,0,191.28
,,,,,,,,309,0,0,0,0,136.668,0,195.18,0,186.36
,,,,,,,,310,0,0,0,0,132.12,0,188.7,0,180.12
,,,,,,,,311,0,0,0,0,125.34,0,178.98,0,170.88
,,,,,,,,312,0,0,0,0,116.244,0,165.96,0,158.52
,,,,,,,,313,0,0,0,0,107.172,0,153,0,146.04
,,,,,,,,314,0,0,0,0,100.092,0,142.92,0,136.44
,,,,,,,,315,0,0,0,0,95.952,0,137.04,0,130.8
,,,,,,,,316,0,0,0,0,93.624,0,133.74,0,127.68
,,,,,,,,317,0,0,0,0,92.904,0,132.66,0,126.6
,,,,,,,,318,0,0,0,0,93.876,0,134.04,0,127.92
,,,,,,,,319,0,0,0,0,97.164,0,138.78,0,132.48
,,,,,,,,320,0,0,0,0,103.332,0,147.54,0,140.88
,,,,,,,,321,0,0,0,0,109.536,0,156.42,0,149.28
,,,,,,,,322,0,0,0,0,116.556,0,166.44,0,158.88
,,,,,,,,323,0,0,0,0,122.076,0,174.3,0,166.44
,,,,,,,,324,0,0,0,0,124.404,0,177.6,0,169.68
,,,,,,,,325,0,0,0,0,123.624,0,176.52,0,168.48
,,,,,,,,326,0,0,0,0,121.656,0,173.7,0,165.96
,,,,,,,,327,0,0,0,0,119.376,0,170.46,0,162.72
,,,,,,,,328,0,0,0,0,118.296,0,168.9,0,161.28
,,,,,,,,329,0,0,0,0,119.256,0,170.28,0,162.6
,,,,,,,,330,0,0,0,0,127.032,0,181.38,0,173.28
,,,,,,,,331,0,0,0,0,137.64,0,196.56,0,187.68
,,,,,,,,332,0,0,0,0,137.604,0,196.5,0,187.68
,,,,,,,,333,0,0,0,0,134.52,0,192.06,0,183.48
,,,,,,,,334,0,0,0,0,130.284,0,186.06,0,177.6
,,,,,,,,335,0,0,0,0,125.124,0,178.68,0,170.64
,,,,,,,,336,0,0,0,0,118.992,0,169.92,0,162.24
,,,,,,,,337,0,0,0,0,111.852,0,159.72,0,152.52
,,,,,,,,338,0,0,0,0,105.132,0,150.12,0,143.4
,,,,,,,,339,0,0,0,0,101.112,0,144.36,0,137.88
,,,,,,,,340,0,0,0,0,99.48,0,142.08,0,135.6
,,,,,,,,341,0,0,0,0,99.288,0,141.78,0,135.36
,,,,,,,,342,0,0,0,0,100.404,0,143.34,0,136.8
,,,,,,,,343,0,0,0,0,103.2,0,147.36,0,140.64
,,,,,,,,344,0,0,0,0,108.024,0,154.26,0,147.24
,,,,,,,,345,0,0,0,0,113.232,0,161.64,0,154.44
,,,,,,,,346,0,0,0,0,120.588,0,172.2,0,164.4
,,,,,,,,347,0,0,0,0,126.12,0,180.06,0,171.96
,,,,,,,,348,0,0,0,0,129.144,0,184.38,0,176.04
,,,,,,,,349,0,0,0,0,130.152,0,185.82,0,177.48
,,,,,,,,350,0,0,0,0,130.044,0,185.7,0,177.36
,,,,,,,,351,0,0,0,0,128.724,0,183.84,0,175.56
,,,,,,,,352,0,0,0,0,127.932,0,182.7,0,174.48
,,,,,,,,353,0,0,0,0,128.964,0,184.14,0,175.8
,,,,,,,,354,0,0,0,0,137.316,0,196.08,0,187.2
,,,,,,,,355,0,0,0,0,148.236,0,211.68,0,202.08
,,,,,,,,356,0,0,0,0,148.416,0,211.92,0,202.32
,,,,,,,,357,0,0,0,0,144.288,0,206.04,0,196.8
,,,,,,,,358,0,0,0,0,140.16,0,200.16,0,191.04
,,,,,,,,359,0,0,0,0,133.176,0,190.2,0,181.56
,,,,,,,,360,0,0,0,0,124.836,0,178.26,0,170.16
,,,,,,,,361,0,0,0,0,116.484,0,166.32,0,158.76
,,,,,,,,362,0,0,0,0,110.616,0,157.98,0,150.84
,,,,,,,,363,0,0,0,0,107.556,0,153.54,0,146.64
,,,,,,,,364,0,0,0,0,106.32,0,151.8,0,144.96
,,,,,,,,365,0,0,0,0,106.368,0,151.92,0,144.96
,,,,,,,,366,0,0,0,0,108.828,0,155.4,0,148.32
,,,,,,,,367,0,0,0,0,115.248,0,164.58,0,157.08
,,,,,,,,368,0,0,0,0,125.856,0,179.7,0,171.6
,,,,,,,,369,0,0,0,0,133.668,0,190.86,0,182.28
,,,,,,,,370,0,0,0,0,139.044,0,198.54,0,189.6
,,,,,,,,371,0,0,0,0,142.044,0,202.86,0,193.68
,,,,,,,,372,0,0,0,0,143.196,0,204.48,0,195.24
,,,,,,,,373,0,0,0,0,142.056,0,202.86,0,193.68
,,,,,,,,374,0,0,0,0,139.776,0,199.56,0,190.56
,,,,,,,,375,0,0,0,0,138.18,0,197.34,0,188.4
,,,,,,,,376,0,0,0,0,136.44,0,194.82,0,186
,,,,,,,,377,0,0,0,0,136.704,0,195.24,0,186.36
,,,,,,,,378,0,0,0,0,143.664,0,205.14,0,195.84
,,,,,,,,379,0,0,0,0,152.94,0,218.4,0,208.44
,,,,,,,,380,0,0,0,0,151.248,0,216,0,206.16
,,,,,,,,381,0,0,0,0,146.676,0,209.46,0,199.92
,,,,,,,,382,0,0,0,0,140.016,0,199.92,0,190.8
,,,,,,,,383,0,0,0,0,130.416,0,186.24,0,177.84
,,,,,,,,384,0,0,0,0,118.932,0,169.8,0,162.12
,,,,,,,,385,0,0,0,0,108.336,0,154.74,0,147.72
,,,,,,,,386,0,0,0,0,101.064,0,144.3,0,137.76
,,,,,,,,387,0,0,0,0,96.96,0,138.48,0,132.12
,,,,,,,,388,0,0,0,0,95.112,0,135.84,0,129.6
,,,,,,,,389,0,0,0,0,94.62,0,135.12,0,129
,,,,,,,,390,0,0,0,0,97.008,0,138.54,0,132.24
,,,,,,,,391,0,0,0,0,105.252,0,150.24,0,143.52
,,,,,,,,392,0,0,0,0,120.204,0,171.66,0,163.92
,,,,,,,,393,0,0,0,0,128.976,0,184.2,0,175.8
,,,,,,,,394,0,0,0,0,130.272,0,186.06,0,177.6
,,,,,,,,395,0,0,0,0,130.332,0,186.06,0,177.6
,,,,,,,,396,0,0,0,0,130.236,0,186,0,177.48
,,,,,,,,397,0,0,0,0,129.732,0,185.22,0,176.88
,,,,,,,,398,0,0,0,0,129.048,0,184.26,0,175.92
,,,,,,,,399,0,0,0,0,128.892,0,184.08,0,175.68
,,,,,,,,400,0,0,0,0,128.46,0,183.42,0,175.08
,,,,,,,,401,0,0,0,0,129.696,0,185.16,0,176.88
